,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kapaa,US,22.0752,-159.319,84.52,78,40,3.0,light rain
79,Igarka,RU,67.4667,86.5833,55.76,93,31,8.34,scattered clouds
80,Vestmannaeyjar,IS,63.4427,-20.2734,53.98,90,100,6.51,overcast clouds
81,Beloha,MG,-25.1667,45.05,62.53,70,81,12.66,broken clouds
82,Chuy,UY,-33.6971,-53.4616,51.49,89,3,5.14,clear sky
83,Luderitz,NA,-26.6481,15.1594,61.27,69,9,5.64,clear sky
84,Mocajuba,BR,-2.5842,-49.5072,81.82,61,48,1.9,scattered clouds
85,Hilo,US,19.7297,-155.09,80.26,83,75,4.61,moderate rain
86,Kodiak,US,57.79,-152.4072,54.91,82,90,4.61,overcast clouds
87,Cidreira,BR,-30.1811,-50.2056,55.96,91,12,8.01,few clouds
88,Alice Springs,AU,-23.7,133.8833,33.35,75,1,4.61,clear sky
89,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,62,20,3.44,few clouds
90,Punta Alta,AR,-38.8759,-62.0736,52.84,57,73,9.69,broken clouds
91,San Ignacio,BZ,17.1561,-89.0714,78.94,83,75,6.91,broken clouds
92,Bengkulu,ID,-3.8004,102.2655,75.65,91,74,4.27,moderate rain
93,Seoul,KR,37.5683,126.9778,80.04,91,75,4.61,broken clouds
94,Iquique,CL,-20.2208,-70.1431,60.84,72,49,6.42,scattered clouds
95,Saint George,US,37.1041,-113.5841,103.42,18,1,1.99,clear sky
96,Kaa-Khem,RU,51.6833,94.7333,61.14,60,28,3.6,light rain
97,Port Elizabeth,ZA,-33.918,25.5701,62.89,48,40,12.66,scattered clouds
98,Vaini,TO,-21.2,-175.2,73.56,73,20,10.36,few clouds
99,Lisakovsk,KZ,52.5369,62.4936,70.84,59,95,6.13,overcast clouds
100,Ciudad Bolivar,VE,8.1222,-63.5497,82.31,67,67,8.01,broken clouds
101,Puerto Cabezas,NI,14.0351,-83.3888,85.96,84,40,4.61,scattered clouds
102,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,83,75,6.91,broken clouds
103,Lastoursville,GA,-0.8143,12.7287,77.38,67,22,1.34,few clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,64.42,37,0,1.99,clear sky
105,Broken Hill,AU,-31.95,141.4333,40.71,87,1,9.22,clear sky
106,Reftinskiy,RU,57.0901,61.6769,63.0,81,84,2.1,broken clouds
107,Palmer,US,42.1584,-72.3287,77.65,53,100,1.54,overcast clouds
108,Traralgon,AU,-38.1833,146.5333,47.41,91,99,10.0,overcast clouds
109,Honningsvag,NO,70.9821,25.9704,47.82,82,100,12.15,overcast clouds
110,Koslan,RU,63.4564,48.8989,59.0,97,92,5.77,overcast clouds
111,Houston,US,29.7633,-95.3633,94.48,65,75,5.01,broken clouds
112,Torbay,CA,47.6666,-52.7314,70.75,65,20,18.41,few clouds
113,Asmar,AF,35.0333,71.3581,79.12,74,95,3.24,overcast clouds
114,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,11.5,few clouds
115,Cherskiy,RU,68.75,161.3,40.98,79,85,14.41,overcast clouds
116,Dalhousie,IN,32.5333,75.9833,61.45,83,32,4.79,scattered clouds
117,Puerto Leguizamo,CO,-0.1934,-74.7819,79.11,69,85,3.44,overcast clouds
118,That Phanom,TH,16.9364,104.7104,76.05,94,100,4.83,light rain
119,Sioux Lookout,CA,50.1001,-91.917,86.38,53,90,2.3,smoke
120,Vallenar,CL,-28.5708,-70.7581,75.18,31,8,6.67,clear sky
121,Lianran,CN,24.9227,102.485,61.34,93,3,2.37,clear sky
122,Feltre,IT,46.0235,11.907,72.37,93,99,3.94,overcast clouds
123,Udachnyy,RU,66.4167,112.4,61.02,62,14,7.38,few clouds
124,Jalu,LY,29.0331,21.5482,93.31,17,0,8.84,clear sky
125,Roald,NO,62.5833,6.1333,55.45,81,20,1.14,few clouds
126,Ahipara,NZ,-35.1667,173.1667,54.21,71,94,6.49,overcast clouds
127,Auki,SB,-8.7676,160.7034,77.59,79,22,5.77,few clouds
128,Codrington,AU,-38.2667,141.9667,50.25,87,73,16.58,broken clouds
129,Labuhan,ID,-6.8844,112.2051,75.61,90,67,6.96,broken clouds
130,Yabrud,SY,33.9674,36.6574,73.06,33,0,1.9,clear sky
131,Chandur,IN,19.7333,79.1833,74.82,88,65,4.54,broken clouds
132,Lemon Tree Passage,AU,-32.7327,152.036,53.58,69,0,8.99,clear sky
133,Carnarvon,AU,-24.8667,113.6333,50.07,46,0,11.5,clear sky
134,Marshfield,US,44.6689,-90.1718,80.33,53,1,5.75,haze
135,Okmulgee,US,35.6234,-95.9605,90.32,37,1,6.91,clear sky
136,Napanee,CA,44.2501,-76.9494,78.58,43,9,12.24,clear sky
137,Praia,CV,14.9215,-23.5087,73.94,94,90,18.41,overcast clouds
138,Ekhabi,RU,53.5102,142.9671,54.12,88,100,14.65,overcast clouds
139,Grindavik,IS,63.8424,-22.4338,57.15,87,75,8.05,broken clouds
140,Bogorodskoye,RU,56.55,37.8833,55.94,73,36,6.44,scattered clouds
141,Port-Cartier,CA,50.0334,-66.8654,67.93,42,65,14.34,broken clouds
142,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,0,7.92,clear sky
143,Maceio,BR,-9.6658,-35.7353,72.84,94,75,8.05,mist
144,Kavaratti,IN,10.5669,72.642,81.46,78,70,16.13,broken clouds
145,Am Timan,TD,11.0297,20.2827,73.17,91,42,4.85,scattered clouds
146,Sasina,BA,44.7987,16.739,69.78,55,14,4.9,few clouds
147,Hermanus,ZA,-34.4187,19.2345,53.91,94,37,2.42,scattered clouds
148,Saint-Augustin,CA,51.226,-58.6502,66.85,58,100,19.64,overcast clouds
149,Abu Dhabi,AE,24.4667,54.3667,95.11,75,0,3.44,clear sky
150,Fortuna,US,40.5982,-124.1573,92.19,78,1,14.97,clear sky
151,Goderich,CA,43.7501,-81.7165,78.03,53,0,8.05,clear sky
152,Turukhansk,RU,65.8167,87.9833,57.04,89,22,9.66,few clouds
153,Qui Nhon,VN,13.7667,109.2333,83.5,71,100,19.22,overcast clouds
154,Kargasok,RU,59.0556,80.8572,52.84,96,56,1.63,broken clouds
155,Ferrol,ES,43.4832,-8.2369,68.36,91,100,9.66,overcast clouds
156,Prainha,BR,-1.8,-53.48,82.96,59,68,5.12,broken clouds
157,Kachug,RU,53.9606,105.8817,59.29,77,97,3.4,overcast clouds
158,Klaksvik,FO,62.2266,-6.589,50.92,94,100,3.65,overcast clouds
159,Sarkand,KZ,45.41,79.9186,73.83,29,100,6.2,overcast clouds
160,Kisangani,CD,0.5167,25.2,75.09,68,64,2.44,broken clouds
161,Tyukalinsk,RU,55.8732,72.1967,57.16,93,53,5.61,broken clouds
162,Shache,CN,38.4167,77.2406,74.73,37,99,3.94,overcast clouds
163,Dingle,PH,10.9995,122.6711,79.99,76,100,9.57,light rain
164,Wiarton,CA,44.7407,-81.1332,80.4,53,20,9.22,few clouds
165,Ust-Tarka,RU,55.5672,75.705,55.98,93,74,4.83,broken clouds
166,Biak,ID,-0.9131,122.8766,75.38,87,100,9.4,overcast clouds
167,Rawson,AR,-43.3002,-65.1023,54.77,38,66,11.7,broken clouds
168,Roseburg,US,43.2165,-123.3417,91.89,36,40,4.61,scattered clouds
